A,B,C,D
Fe5+,Au1+,Li1+,O2-
Na1+,Cl7+,Li1+,O2-
Fe5+,Na1+,Li1+,O2-
Mn5+,Au1+,Li1+,O2-
Fe5+,N1+,Li1+,O2-
Fe5+,C1+,Li1+,O2-
Fe3+,C4+,Li1+,O2-
Fe3+,S4+,Li1+,O2-
Na1+,Mn7+,Li1+,O2-
Fe3+,Si4+,Li1+,O2-
Ag3+,S4+,Li1+,O2-
Ag3+,C4+,Li1+,O2-
Ag3+,Si4+,Li1+,O2-
Ti3+,S4+,Li1+,O2-
Ti3+,C4+,Li1+,O2-
Fe3+,Fe4+,Li1+,O2-
Ti3+,Si4+,Li1+,O2-
Fe5+,Ag1+,Li1+,O2-
Ag3+,Fe4+,Li1+,O2-
Fe5+,Ni1+,Li1+,O2-
Fe3+,Ni4+,Li1+,O2-
Ag1+,Cl7+,Li1+,O2-
Fe5+,Cu1+,Li1+,O2-
Ag3+,Ni4+,Li1+,O2-
Fe3+,Ti4+,Li1+,O2-
Mn5+,Na1+,Li1+,O2-
Ag3+,Ti4+,Li1+,O2-
Ti3+,Fe4+,Li1+,O2-
Mn7+,O2-,Li1+,O2-
Fe5+,Li1+,Li1+,O2-
Ti3+,Ni4+,Li1+,O2-
Mn3+,S4+,Li1+,O2-
Mn7+,S2-,Li1+,O2-
Mn5+,N1+,Li1+,O2-
Ag3+,Mn4+,Li1+,O2-
Ag1+,Mn7+,Li1+,O2-
Ag3+,Sn4+,Li1+,O2-
Fe5+,Mn1+,Li1+,O2-
Fe3+,Mn4+,Li1+,O2-
Mn3+,Si4+,Li1+,O2-
Fe3+,Sn4+,Li1+,O2-
Mn5+,C1+,Li1+,O2-
Mn3+,C4+,Li1+,O2-
Ti3+,Ti4+,Li1+,O2-
Mn5+,Ag1+,Li1+,O2-
Ag3+,Ge4+,Li1+,O2-
Mn3+,Fe4+,Li1+,O2-
Ag3+,Se4+,Li1+,O2-
Ti3+,Sn4+,Li1+,O2-
Fe3+,Ge4+,Li1+,O2-
Ti3+,Mn4+,Li1+,O2-
Fe3+,Se4+,Li1+,O2-
Mn1+,Cl7+,Li1+,O2-
Mn3+,Ni4+,Li1+,O2-
Mn5+,Ni1+,Li1+,O2-
Mn5+,Cu1+,Li1+,O2-
Li1+,Cl7+,Li1+,O2-
Mn3+,Ti4+,Li1+,O2-
Mn3+,Sn4+,Li1+,O2-
Ti3+,Ge4+,Li1+,O2-
Ti3+,Se4+,Li1+,O2-
Ag3+,Pb4+,Li1+,O2-
V5+,Au1+,Li1+,O2-
Mn5+,Mn1+,Li1+,O2-
Mn1+,Mn7+,Li1+,O2-
Mn3+,Mn4+,Li1+,O2-
Fe3+,Pb4+,Li1+,O2-
Fe5+,In1+,Li1+,O2-
Mn5+,Li1+,Li1+,O2-
Ag3+,Co4+,Li1+,O2-
Li1+,Mn7+,Li1+,O2-
Mn3+,Ge4+,Li1+,O2-
Mn3+,Se4+,Li1+,O2-
Mn7+,Se2-,Li1+,O2-
Ti3+,Pb4+,Li1+,O2-
Fe5+,Co1+,Li1+,O2-
Fe3+,Co4+,Li1+,O2-
In3+,S4+,Li1+,O2-
In3+,Si4+,Li1+,O2-
Mn3+,Pb4+,Li1+,O2-
In3+,C4+,Li1+,O2-
In3+,Fe4+,Li1+,O2-
Ag3+,Zr4+,Li1+,O2-
Ag3+,V4+,Li1+,O2-
In3+,Ni4+,Li1+,O2-
Mn5+,In1+,Li1+,O2-
In3+,Sn4+,Li1+,O2-
In1+,Cl7+,Li1+,O2-
In3+,Ti4+,Li1+,O2-
Cr5+,Au1+,Li1+,O2-
Ti3+,Co4+,Li1+,O2-
Ag3+,P4+,Li1+,O2-
In3+,Mn4+,Li1+,O2-
In1+,Mn7+,Li1+,O2-
Fe3+,Zr4+,Li1+,O2-
Fe3+,V4+,Li1+,O2-
In3+,Ge4+,Li1+,O2-
In3+,Se4+,Li1+,O2-
In3+,Pb4+,Li1+,O2-
Co3+,S4+,Li1+,O2-
Mn5+,Co1+,Li1+,O2-
Mn3+,Co4+,Li1+,O2-
Co3+,Si4+,Li1+,O2-
Co3+,Fe4+,Li1+,O2-
Ag3+,Cr4+,Li1+,O2-
Co3+,Sn4+,Li1+,O2-
Ti3+,Zr4+,Li1+,O2-
Co3+,Ni4+,Li1+,O2-
Co3+,C4+,Li1+,O2-
Ti3+,V4+,Li1+,O2-
Fe5+,P1+,Li1+,O2-
Fe3+,P4+,Li1+,O2-
Co1+,Cl7+,Li1+,O2-
Co3+,Ti4+,Li1+,O2-
Mn3+,Zr4+,Li1+,O2-
Ag3+,Hf4+,Li1+,O2-
Co3+,Pb4+,Li1+,O2-
V5+,Ag1+,Li1+,O2-
Y3+,Sn4+,Li1+,O2-
Co1+,Mn7+,Li1+,O2-
Co3+,Mn4+,Li1+,O2-
Y3+,S4+,Li1+,O2-
Zr3+,Sn4+,Li1+,O2-
Y3+,Fe4+,Li1+,O2-
Mn3+,V4+,Li1+,O2-
In3+,Co4+,Li1+,O2-
Zr3+,S4+,Li1+,O2-
Y3+,Si4+,Li1+,O2-
Zr3+,Fe4+,Li1+,O2-
Zr3+,Si4+,Li1+,O2-
Co3+,Ge4+,Li1+,O2-
Y3+,Ni4+,Li1+,O2-
Co3+,Se4+,Li1+,O2-
Fe3+,Cr4+,Li1+,O2-
Zr3+,Ni4+,Li1+,O2-
Y3+,Pb4+,Li1+,O2-
Y3+,C4+,Li1+,O2-
Zr3+,Pb4+,Li1+,O2-
Ti3+,P4+,Li1+,O2-
V3+,Sn4+,Li1+,O2-
Y3+,Ti4+,Li1+,O2-
Zr3+,C4+,Li1+,O2-
In3+,Zr4+,Li1+,O2-
Zr3+,Ti4+,Li1+,O2-
Fe3+,Hf4+,Li1+,O2-
V5+,Na1+,Li1+,O2-
Ag3+,Ce4+,Li1+,O2-
Ag3+,Pr4+,Li1+,O2-
Y3+,Mn4+,Li1+,O2-
V3+,S4+,Li1+,O2-
V3+,Fe4+,Li1+,O2-
Zr3+,Mn4+,Li1+,O2-
V3+,Pb4+,Li1+,O2-
V5+,Cu1+,Li1+,O2-
In3+,V4+,Li1+,O2-
Y3+,Se4+,Li1+,O2-
Y3+,Ge4+,Li1+,O2-
V3+,Si4+,Li1+,O2-
V5+,Ni1+,Li1+,O2-
V3+,Ni4+,Li1+,O2-
Zr3+,Se4+,Li1+,O2-
Zr3+,Ge4+,Li1+,O2-
Mn3+,P4+,Li1+,O2-
Mn5+,P1+,Li1+,O2-
Ti3+,Cr4+,Li1+,O2-
Ti3+,Hf4+,Li1+,O2-
Ag3+,Tb4+,Li1+,O2-
V5+,N1+,Li1+,O2-
V3+,Ti4+,Li1+,O2-
V5+,C1+,Li1+,O2-
V3+,C4+,Li1+,O2-
Mn3+,Hf4+,Li1+,O2-
Mn3+,Cr4+,Li1+,O2-
In3+,P4+,Li1+,O2-
V5+,Mn1+,Li1+,O2-
V3+,Mn4+,Li1+,O2-
Cr5+,Ag1+,Li1+,O2-
V3+,Se4+,Li1+,O2-
V3+,Ge4+,Li1+,O2-
In3+,Hf4+,Li1+,O2-
Fe3+,Ce4+,Li1+,O2-
Fe3+,Pr4+,Li1+,O2-
Co3+,Co4+,Li1+,O2-
V5+,In1+,Li1+,O2-
In3+,Cr4+,Li1+,O2-
Cr3+,Pb4+,Li1+,O2-
Cr3+,Sn4+,Li1+,O2-
Co3+,Zr4+,Li1+,O2-
Sc3+,Pb4+,Li1+,O2-
Fe3+,Tb4+,Li1+,O2-
Y3+,Co4+,Li1+,O2-
Sc3+,Sn4+,Li1+,O2-
Zr3+,Co4+,Li1+,O2-
Ti3+,Ce4+,Li1+,O2-
Ti3+,Pr4+,Li1+,O2-
Ag1+,Re7+,Li1+,O2-
Ag3+,Re4+,Li1+,O2-
Y3+,Zr4+,Li1+,O2-
Zr3+,Zr4+,Li1+,O2-
Mn3+,Ce4+,Li1+,O2-
Mn3+,Pr4+,Li1+,O2-
In3+,Ce4+,Li1+,O2-
In3+,Pr4+,Li1+,O2-
V5+,Li1+,Li1+,O2-
Cr3+,Fe4+,Li1+,O2-
Ti3+,Tb4+,Li1+,O2-
Cr5+,Cu1+,Li1+,O2-
Co3+,V4+,Li1+,O2-
Cr5+,Ni1+,Li1+,O2-
Cr3+,Ni4+,Li1+,O2-
Cr5+,Na1+,Li1+,O2-
Cr3+,S4+,Li1+,O2-
La3+,Pb4+,Li1+,O2-
Sc3+,Fe4+,Li1+,O2-
Ce3+,Pb4+,Li1+,O2-
Pr3+,Pb4+,Li1+,O2-
In3+,Tb4+,Li1+,O2-
Mn3+,Tb4+,Li1+,O2-
Nd3+,Pb4+,Li1+,O2-
Fe5+,Hg1+,Li1+,O2-
Sc3+,Ni4+,Li1+,O2-
Cr3+,Si4+,Li1+,O2-
Y3+,V4+,Li1+,O2-
Co3+,Hf4+,Li1+,O2-
La3+,Sn4+,Li1+,O2-
Zr3+,V4+,Li1+,O2-
Ce3+,Sn4+,Li1+,O2-
Sc3+,S4+,Li1+,O2-
Pr3+,Sn4+,Li1+,O2-
Sm3+,Pb4+,Li1+,O2-
Eu3+,Pb4+,Li1+,O2-
Nd3+,Sn4+,Li1+,O2-
Cr3+,Ti4+,Li1+,O2-
Y3+,Hf4+,Li1+,O2-
V3+,Co4+,Li1+,O2-
V5+,Co1+,Li1+,O2-
Gd3+,Pb4+,Li1+,O2-
Zr3+,Hf4+,Li1+,O2-
Tb3+,Pb4+,Li1+,O2-
Sc3+,Si4+,Li1+,O2-
Cr5+,In1+,Li1+,O2-
Cr3+,Se4+,Li1+,O2-
Sm3+,Sn4+,Li1+,O2-
Dy3+,Pb4+,Li1+,O2-
Eu3+,Sn4+,Li1+,O2-
Cr3+,Ge4+,Li1+,O2-
Ho3+,Pb4+,Li1+,O2-
Cr5+,Mn1+,Li1+,O2-
Cr3+,Mn4+,Li1+,O2-
Cr5+,N1+,Li1+,O2-
V3+,Zr4+,Li1+,O2-
Er3+,Pb4+,Li1+,O2-
Sc3+,Ti4+,Li1+,O2-
Tm3+,Pb4+,Li1+,O2-
Gd3+,Sn4+,Li1+,O2-
Fe5+,K1+,Li1+,O2-
Fe3+,Re4+,Li1+,O2-
Fe5+,Re1+,Li1+,O2-
Tb3+,Sn4+,Li1+,O2-
Yb3+,Pb4+,Li1+,O2-
Cr3+,C4+,Li1+,O2-
Cr5+,C1+,Li1+,O2-
Sc3+,Se4+,Li1+,O2-
Lu3+,Pb4+,Li1+,O2-
Dy3+,Sn4+,Li1+,O2-
Sc3+,Ge4+,Li1+,O2-
La3+,Fe4+,Li1+,O2-
