Pretty Formula,A,B,C,D,sus_factor
Li7Mg5O12,Mg1+,Mg1+,Li1+,O1-,996.4637309419813
Na2Li7Mg3O12,Mg1+,Na1+,Li1+,O1-,1000.096615297045
Na3Li7Mg2O12,Na1+,Mg1+,Li1+,O1-,1001.9330684738841
Na5Li7O12,Na1+,Na1+,Li1+,O1-,1005.6467371063577
Li7Mg3(NO6)2,Mg1+,N1+,Li1+,O1-,1026.4058081182238
Li7Mg3(AuO6)2,Mg1+,Au1+,Li1+,O1-,1032.5467779306166
Na3Li7(NO6)2,Na1+,N1+,Li1+,O1-,1032.5588471016142
Li7Mg3(CO6)2,Mg1+,C1+,Li1+,O1-,1032.631915149554
Na3Li7(AuO6)2,Na1+,Au1+,Li1+,O1-,1035.5337270099144
Na3Li7(CO6)2,Na1+,C1+,Li1+,O1-,1038.9322370376615
Li7Mg3(SO6)2,Mg1+,S1+,Li1+,O1-,1060.971895913616
Li7Mg3(SiO6)2,Mg1+,Si1+,Li1+,O1-,1062.284636555505
Li7Mg3Al2O12,Mg1+,Al1+,Li1+,O1-,1062.6588826328743
Na3Li7(SO6)2,Na1+,S1+,Li1+,O1-,1066.8952198705827
Li7N2O15,O1-,N4+,Li1+,O1-,1067.8357024227444
Na3Li7(SiO6)2,Na1+,Si1+,Li1+,O1-,1068.3510300476455
Na3Li7Al2O12,Na1+,Al1+,Li1+,O1-,1068.766184762828
Li7C2O15,O1-,C4+,Li1+,O1-,1075.0871562773314
Li7S2O15,O1-,S4+,Li1+,O1-,1100.6013472901097
Li7Si2O15,O1-,Si4+,Li1+,O1-,1102.923866349141
Li7Mg3(BO6)2,Mg1+,B1+,Li1+,O1-,1133.226683950193
Na3Li7(BO6)2,Na1+,B1+,Li1+,O1-,1140.771175311958
Li7Mg3(ClO6)2,Mg1+,Cl7+,Li1+,O2-,1152.1263743467757
Li7Mg3(ClO6)2,Mg1+,Cl1+,Li1+,O1-,1152.1263743467757
Li7Fe3(AuO6)2,Fe5+,Au1+,Li1+,O2-,1157.7162586009915
Li7Fe3(AuO6)2,Fe1+,Au1+,Li1+,O1-,1157.7162586009915
Li7Ca3(AuO6)2,Ca1+,Au1+,Li1+,O1-,1158.4623851763147
Na3Li7(ClO6)2,Na1+,Cl1+,Li1+,O1-,1158.8895636681066
Na3Li7(ClO6)2,Na1+,Cl7+,Li1+,O2-,1158.8895636681066
Li7Mg3(FeO6)2,Mg1+,Fe1+,Li1+,O1-,1159.22605888075
Li7Ca2Mg3O12,Mg1+,Ca1+,Li1+,O1-,1160.3007030596661
Li7Cd3(AuO6)2,Cd1+,Au1+,Li1+,O1-,1165.3229447304361
Na3Li7(FeO6)2,Na1+,Fe1+,Li1+,O1-,1165.400943984679
Na3Li7Ca2O12,Na1+,Ca1+,Li1+,O1-,1166.9861255878582
Li7Mg3Cd2O12,Mg1+,Cd1+,Li1+,O1-,1168.0629324591023
Na3Li7Cd2O12,Na1+,Cd1+,Li1+,O1-,1172.9957790077217
Li7Ti3(AuO6)2,Ti1+,Au1+,Li1+,O1-,1187.1738737572903
Li7Mg3(NiO6)2,Mg1+,Ni1+,Li1+,O1-,1189.6527955707554
Li5AuO6,Li1+,Au1+,Li1+,O1-,1192.4441995122204
Na3Li7(NiO6)2,Na1+,Ni1+,Li1+,O1-,1196.026486746962
Li7Mg3(CuO6)2,Mg1+,Cu1+,Li1+,O1-,1196.4890913663323
Li7Mg3Ti2O12,Mg1+,Ti1+,Li1+,O1-,1196.6257018078884
Li7Ag3(AuO6)2,Ag1+,Au1+,Li1+,O1-,1197.1823210692548
Li7Cl2O15,O1-,Cl4+,Li1+,O1-,1197.327002036252
Li7Fe2O15,O1-,Fe4+,Li1+,O1-,1200.2630737405939
Na3Li7(CuO6)2,Na1+,Cu1+,Li1+,O1-,1202.7828907773046
Na3Li7Ti2O12,Na1+,Ti1+,Li1+,O1-,1203.4078018187356
Li3MgO4,Mg1+,Li1+,Li1+,O1-,1206.0222349292926
Li7Mg3(AgO6)2,Mg1+,Ag1+,Li1+,O1-,1206.5620091937135
Na3Li7(AgO6)2,Na1+,Ag1+,Li1+,O1-,1211.869363268059
NaLi3O4,Na1+,Li1+,Li1+,O1-,1214.635340872473
Li7Mg2Cd3O12,Cd1+,Mg1+,Li1+,O1-,1217.659542404906
Na2Li7Cd3O12,Cd1+,Na1+,Li1+,O1-,1220.6858311818764
Li7Mg2(FeO4)3,Fe5+,Mg1+,Li1+,O2-,1223.7474295243
Li7Mg2(FeO4)3,Fe1+,Mg1+,Li1+,O1-,1223.7474295243
Na2Li7(FeO4)3,Fe1+,Na1+,Li1+,O1-,1227.9399277432824
Na2Li7(FeO4)3,Fe5+,Na1+,Li1+,O2-,1227.9399277432824
Li7Ni2O15,O1-,Ni4+,Li1+,O1-,1231.9814427260687
Li7Mg3Be2O12,Mg1+,Be1+,Li1+,O1-,1232.5584773735739
Li7Ca3Mg2O12,Ca1+,Mg1+,Li1+,O1-,1232.7514912420825
Na2Li7Ca3O12,Ca1+,Na1+,Li1+,O1-,1237.4897068422633
Li7Cu2O15,O1-,Cu4+,Li1+,O1-,1238.2392282339356
Li7Mn3(AuO6)2,Mn5+,Au1+,Li1+,O2-,1239.3679814720851
Li7Mn3(AuO6)2,Mn1+,Au1+,Li1+,O1-,1239.3679814720851
Na3Li7Be2O12,Na1+,Be1+,Li1+,O1-,1241.3823000863183
Li7Ag2O15,O1-,Ag4+,Li1+,O1-,1241.47131234008
