A,B,C,D,Pretty Formula,sus_factor
Fe5+,Au1+,Li1+,O2-,Li7Fe3(AuO6)2,1157.7162586009915
Na1+,Cl7+,Li1+,O2-,Na3Li7(ClO6)2,1158.8895636681066
Fe5+,Na1+,Li1+,O2-,Na2Li7(FeO4)3,1227.9399277432824
Mn5+,Au1+,Li1+,O2-,Li7Mn3(AuO6)2,1239.3679814720851
Fe5+,N1+,Li1+,O2-,Li7Fe3(NO6)2,1257.9271416065276
Fe5+,C1+,Li1+,O2-,Li7Fe3(CO6)2,1264.9287423733535
Fe3+,C4+,Li1+,O2-,Li7Fe3(CO6)2,1264.9287423733535
Fe3+,S4+,Li1+,O2-,Li7Fe3(SO6)2,1267.8610754422282
Na1+,Mn7+,Li1+,O2-,Na3Li7Mn2O12,1269.1736659156747
Fe3+,Si4+,Li1+,O2-,Li7Fe3(SiO6)2,1272.4528727779311
Ag3+,S4+,Li1+,O2-,Li7Ag3(SO6)2,1300.6836068057648
Ag3+,C4+,Li1+,O2-,Li7Ag3(CO6)2,1300.7674184783623
Ag3+,Si4+,Li1+,O2-,Li7Si2(AgO4)3,1304.5413000354315
Ti3+,S4+,Li1+,O2-,Li7Ti3(SO6)2,1324.869710923761
Ti3+,C4+,Li1+,O2-,Li7Ti3(CO6)2,1327.3669274687888
Fe3+,Fe4+,Li1+,O2-,Li7Fe5O12,1329.300537432513
Ti3+,Si4+,Li1+,O2-,Li7Ti3(SiO6)2,1330.7414662549352
Fe5+,Ag1+,Li1+,O2-,Li7Fe3(AgO6)2,1341.0918501078463
Ag3+,Fe4+,Li1+,O2-,Li7Fe2(AgO4)3,1345.6261104134144
Fe5+,Ni1+,Li1+,O2-,Li7Fe3(NiO6)2,1352.4050164642697
Fe3+,Ni4+,Li1+,O2-,Li7Fe3(NiO6)2,1352.4050164642697
Ag1+,Cl7+,Li1+,O2-,Li7Ag3(ClO6)2,1353.2990578978993
Fe5+,Cu1+,Li1+,O2-,Li7Fe3(CuO6)2,1355.0814376797905
Ag3+,Ni4+,Li1+,O2-,Li7Ni2(AgO4)3,1363.3035550797915
Fe3+,Ti4+,Li1+,O2-,Li7Ti2(FeO4)3,1365.062693411198
Mn5+,Na1+,Li1+,O2-,Na2Li7Mn3O12,1372.958422638947
Ag3+,Ti4+,Li1+,O2-,Li7Ti2(AgO4)3,1373.3253080986983
Ti3+,Fe4+,Li1+,O2-,Li7Ti3(FeO6)2,1383.8068303275772
Mn7+,O2-,Li1+,O2-,Li7Mn3O14,1400.8615003630548
Fe5+,Li1+,Li1+,O2-,Li3FeO4,1405.0229764775463
Ti3+,Ni4+,Li1+,O2-,Li7Ti3(NiO6)2,1407.3947360236189
Mn3+,S4+,Li1+,O2-,Li7Mn3(SO6)2,1407.504908136366
Mn7+,S2-,Li1+,O2-,Li7Mn3(SO6)2,1407.504908136366
Mn5+,N1+,Li1+,O2-,Li7Mn3(NO6)2,1409.1453782156227
Ag3+,Mn4+,Li1+,O2-,Li7Mn2(AgO4)3,1410.6822994476358
Ag1+,Mn7+,Li1+,O2-,Li7Mn2(AgO4)3,1410.6822994476358
Ag3+,Sn4+,Li1+,O2-,Li7Ag3(SnO6)2,1413.390744861181
Fe5+,Mn1+,Li1+,O2-,Li7Mn2(FeO4)3,1413.900854511167
Fe3+,Mn4+,Li1+,O2-,Li7Mn2(FeO4)3,1413.900854511167
Mn3+,Si4+,Li1+,O2-,Li7Mn3(SiO6)2,1414.5317234724516
Fe3+,Sn4+,Li1+,O2-,Li7Fe3(SnO6)2,1416.628197271472
Mn5+,C1+,Li1+,O2-,Li7Mn3(CO6)2,1417.597121909957
Mn3+,C4+,Li1+,O2-,Li7Mn3(CO6)2,1417.597121909957
Ti3+,Ti4+,Li1+,O2-,Li7Ti5O12,1423.1646950667075
Mn5+,Ag1+,Li1+,O2-,Li7Mn3(AgO6)2,1446.9719998460546
Ag3+,Ge4+,Li1+,O2-,Li7Ag3(GeO6)2,1450.5875700035126
Mn3+,Fe4+,Li1+,O2-,Li7Mn3(FeO6)2,1456.423593976092
Ag3+,Se4+,Li1+,O2-,Li7Ag3(SeO6)2,1458.4542622922668
Ti3+,Sn4+,Li1+,O2-,Li7Ti3(SnO6)2,1463.4720547335205
